student_id,age,department,level,study_hours,attendance_rate,previous_gpa,assignment_average,quiz_average,midterm_score,internet_access,library_visits,sleep_hours,previous_failures,extracurricular_hours,final_score
178302,22.0,Cyber Security,200,5.487260496142444,74.2755764680035,3.3938967898430703,,67.61350222407218,67.90942742343103,Average,1,6.533121959637858,1,1.2161913587275157,99.73159325907181
166464,20.0,Cyber Security,400,2.77560913485514,80.87299291379931,2.6294010604005607,72.50965944773016,45.78113831895583,47.47338489639915,Poor,2,8.25603831188488,1,0.9706331321905505,82.93995770164882
193227,24.0,Cyber Security,200,1.1292067516573547,79.95524301563344,1.6191210987659257,53.81948176895964,48.249474716740544,61.952075669629465,Average,2,7.0646240261381505,2,1.1644854536956386,57.79348365250845
101747,22.0,Civil Engineering,200,7.087951164658081,91.62200995609798,1.8358535499434083,42.79758014938308,66.37574930901579,52.62575645637672,Good,8,8.151250056071916,1,1.434771405657278,93.31418175990642
180004,22.0,Mechanical Engineering,200,,64.86725067204391,1.4636133256392074,56.44118254763092,33.32767467997951,40.29626748620373,Poor,6,3.6554737333898544,0,5.562127144836192,60.10620086120528
119260,18.0,Civil Engineering,400,3.0459526402039225,80.84102687908525,2.458077775534687,83.17104168453616,56.33243556600541,73.01733728820713,Poor,4,5.020011138027387,1,2.340810734416048,95.19007785420146
126829,15.0,Mathematics,100,2.9886960381837318,93.63175498496565,2.8138833484691834,85.86568457092159,68.88020032302795,61.636138442504866,Average,2,3.288977235853007,1,0.15285457321982304,98.96956485003146
180312,16.0,Cyber Security,100,1.8662971699699487,74.20238047129736,3.110552102957201,71.92983417062314,73.83541978469809,54.26595856050141,Good,5,7.34033696931288,2,0.4605107251728968,86.03292360058303
118567,18.0,Physics,100,2.3470356574325457,93.18596462825798,3.060412974732356,72.16074757825871,66.91793312677255,67.88889929615281,Average,8,6.482923898955889,1,0.8472255988745431,83.2727386896303
131082,23.0,Mechanical Engineering,300,2.952662715480881,66.89716611548073,3.632255251217326,,,68.01338732062794,Good,4,8.662827873670814,1,10.58894783000602,79.0888418930701
124141,23.0,Electrical Engineering,200,4.653201126646768,100.0,2.8204034330561445,74.26727594555385,81.5671568645646,58.96946712513237,Good,2,6.462232457303034,2,2.8297542487542615,97.00263575539078
195215,22.0,Civil Engineering,200,3.6494254608068926,73.62609685716234,3.2320126693321227,79.80685448140297,55.772435138759526,70.50517485717474,Poor,2,6.391995324303889,0,2.148578813081845,81.93440550858845
118846,22.0,Computer Science,300,2.011064217320772,66.01049879422905,2.706164317912092,82.99918675087743,64.18626985660552,69.25123355860399,Poor,4,5.3808518931121,0,0.6403944464056099,78.45578894833699
102349,20.0,Physics,100,9.89216053078093,86.21370834622981,1.9019398331300321,75.2123968197583,71.25901331185437,59.294595271885456,Good,5,6.08553710284085,1,0.6073378278767587,100.0
120196,21.0,Electrical Engineering,300,6.070230689064361,88.67173077230805,3.2794160626113866,77.96257162607183,69.59787940916824,54.36118807911013,Average,9,6.074907325619168,0,6.595933461390461,88.58376973763005
143191,27.0,Mathematics,100,8.711207340810681,83.69900154524359,3.084580935274855,71.90160595501428,78.62124581465258,82.94507559240965,Poor,4,4.725910534215481,1,6.461227533697336,100.0
165287,22.0,Physics,400,13.299629307057536,71.40203661544618,3.548363644587553,71.8841486602623,58.3634614993477,99.91539012894015,Average,3,4.564514727391124,0,1.9744936261763844,100.0
107732,20.0,Civil Engineering,400,,80.57970794699236,2.764915993226295,70.40559026224237,83.46515946717962,36.91495322966246,Average,1,6.692470320787912,0,2.6390138409076895,91.52606336248597
179603,23.0,Physics,200,4.322014685501792,83.00243704221252,2.3868441710630406,60.01999288869053,73.3896332788258,69.30570216553434,Average,2,7.1997631329131995,1,5.097805506721723,78.80154337910312
115206,22.0,Electrical Engineering,500,2.6407354658826367,61.160801677993476,2.846129949660007,56.038079527133824,78.63776838418045,44.65111981422856,Poor,4,4.5717347702824735,1,2.9663228957979784,59.260240354200576
134430,21.0,Computer Science,300,2.6390857370719236,83.86174909445657,2.3842250145284165,71.56300146054215,65.43155367581018,65.07302692901972,Poor,7,6.407304323735542,1,2.984958344852673,58.912563812795185
